company_name,company_rating,industry,size,type,years_old,location
IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Ahmedabad
Maruti Suzuki,4.2,Automobile,10k-50k Employees,Public,43,Ahmedabad
Indian Space Research Organisation,4.5,Defence & Aerospace,10k-50k Employees,Public,55,Ahmedabad
Future Group,4.3,Retail,10k-50k Employees,Conglomerate,11,Ahmedabad
Samvardhana Motherson Group,3.8,Auto Components,1k-5k Employees,Public,38,Ahmedabad
Shapoorji Pallonji Group,4.2,Engineering & Construction,5k-10k Employees,Conglomerate,159,Ahmedabad
Nandan Denim,3.3,Fashion & Textile,1k-5k Employees,Public,30,Ahmedabad
JLL,4.2,Real Estate,10k-50k Employees,Forbes Global 2000,25,Ahmedabad
Ratnamani Metals and Tubes,4.3,Iron & Steel,1k-5k Employees,Public,41,Ahmedabad
Tata Projects,4.3,Engineering & Construction,5k-10k Employees,Public,45,Ahmedabad
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Ahmedabad
Hyatt Regency,4.2,Hospitality,1k-5k Employees,Forbes Global 2000,44,Ahmedabad
Megha Engineering & Infrastructures,4.0,Engineering & Construction,5k-10k Employees,Conglomerate,35,Ahmedabad
DCB Bank,3.9,Banking,5k-10k Employees,Fortune India 500,94,Ahmedabad
Dainik Bhaskar Group,4.4,Printing & Publishing,5k-10k Employees,Public,66,Ahmedabad
Anup Engineering,3.3,Fashion & Textile,51-200 Employees,Public,62,Ahmedabad
Indiabulls Home Loans,3.9,NBFC,5k-10k Employees,Public,19,Ahmedabad
Pidilite Industries,4.4,Chemicals,5k-10k Employees,Public,65,Ahmedabad
ITC,4.0,FMCG,10k-50k Employees,Public,114,Ahmedabad
Gujarat Ambuja Exports,3.7,Agro Chemicals,1k-5k Employees,Public,33,Ahmedabad
Equitas Small Finance Bank,4.4,Banking,10k-50k Employees,Fortune India 500,17,Ahmedabad
Ashima Group,3.6,Fashion & Textile,501-1k Employees,Public,42,Ahmedabad
Bank of Baroda,3.6,Banking,50k-1 Lakh Employees,Fortune India 500,116,Ahmedabad
Rivigo,3.9,Internet,1k-5k Employees,Indian Unicorn,10,Ahmedabad
ICICI Securities,3.8,Financial Services,1k-5k Employees,Public,29,Ahmedabad
Gensol Engineering,4.3,Power,51-200 Employees,Public,17,Ahmedabad
Sayaji Industries,3.7,Agro Chemicals,1k-5k Employees,Public,83,Ahmedabad
Blue Dart Express,4.1,Logistics,10k-50k Employees,Public,41,Ahmedabad
Finecure Pharmaceuticals,3.7,Pharma,201-500 Employees,Public,19,Ahmedabad
Adani Transmission,3.9,Real Estate,501-1k Employees,Public,11,Ahmedabad
Shah Alloys,3.0,Iron & Steel,1k-5k Employees,Public,34,Ahmedabad
